64.5,4293352220,0,0,381276,145884,131301924,b8:27:eb:0e:9d:fb
66.6,4294046696,0,0,390396,148356,130994280,b8:27:eb:0e:9d:fb
66.6,4294004816,0,0,348648,152736,131118120,b8:27:eb:0e:9d:fb
67.1,4293635840,0,0,376716,150648,130701816,b8:27:eb:0e:9d:fb
67.1,4294057664,0,0,398784,145932,130724136,b8:27:eb:0e:9d:fb
66.6,4293980108,0,0,376680,158760,130902420,b8:27:eb:0e:9d:fb
68.8,4293822848,0,0,388920,148608,130893636,b8:27:eb:0e:9d:fb
66.6,30272572,0,0,379824,173928,130641132,b8:27:eb:0e:9d:fb
67.7,13350676,0,0,364812,135024,131030544,b8:27:eb:0e:9d:fb
67.1,8041156,0,0,385248,143568,131147424,b8:27:eb:0e:9d:fb
67.7,4293748208,0,0,371352,140964,130892244,b8:27:eb:0e:9d:fb
68.2,730168,0,0,380688,144480,130959048,b8:27:eb:0e:9d:fb
67.7,3074284,0,0,376584,154512,131261016,b8:27:eb:0e:9d:fb
67.7,3832084,0,0,373920,155064,130990056,b8:27:eb:0e:9d:fb
67.7,4755340,0,0,372444,148008,130810380,b8:27:eb:0e:9d:fb
67.7,4430368,0,0,385848,166896,130618764,b8:27:eb:0e:9d:fb
67.7,4291612,0,0,390888,146748,130829400,b8:27:eb:0e:9d:fb
67.7,4294647836,0,0,386004,163800,130983636,b8:27:eb:0e:9d:fb
68.2,1904920,0,0,379092,147516,130645512,b8:27:eb:0e:9d:fb
67.7,2795212,0,0,396612,146988,130633200,b8:27:eb:0e:9d:fb
67.7,3481900,0,0,390216,153672,130787520,b8:27:eb:0e:9d:fb
70.4,4092364,0,0,381336,159048,131199132,b8:27:eb:0e:9d:fb
72.0,3588976,0,0,373956,147336,130888380,b8:27:eb:0e:9d:fb
72.5,3619360,0,0,397620,168636,130878156,b8:27:eb:0e:9d:fb
74.1,4884700,0,0,397008,151560,130758912,b8:27:eb:0e:9d:fb
73.6,4083868,0,0,394464,146544,131076300,b8:27:eb:0e:9d:fb
73.1,3826288,0,0,393744,171108,130801668,b8:27:eb:0e:9d:fb
73.1,8875720,0,0,360240,167880,130842888,b8:27:eb:0e:9d:fb
73.1,8328628,0,0,368472,144180,130850292,b8:27:eb:0e:9d:fb
73.6,6413800,0,0,377532,149268,131148408,b8:27:eb:0e:9d:fb
72.0,6342928,0,0,365904,143052,130792632,b8:27:eb:0e:9d:fb
72.0,6650908,0,0,380028,163920,131096076,b8:27:eb:0e:9d:fb
73.1,5990272,0,0,374304,150084,130861644,b8:27:eb:0e:9d:fb
73.6,5867788,0,0,403584,150192,130685736,b8:27:eb:0e:9d:fb
73.6,3548200,0,0,395676,147168,131057364,b8:27:eb:0e:9d:fb
74.1,4611640,0,0,359400,146172,130987884,b8:27:eb:0e:9d:fb
73.1,5184892,0,0,392700,165936,130733712,b8:27:eb:0e:9d:fb
74.1,6857548,0,0,368160,146880,130884060,b8:27:eb:0e:9d:fb
74.7,7190176,0,0,396888,149364,130635636,b8:27:eb:0e:9d:fb
73.6,6190432,0,0,396732,169596,130882896,b8:27:eb:0e:9d:fb
74.1,6642424,0,0,641340,166212,130943364,b8:27:eb:0e:9d:fb
74.1,4763368,0,0,376236,146232,131013888,b8:27:eb:0e:9d:fb
74.1,5260600,0,0,374664,141096,131177232,b8:27:eb:0e:9d:fb
74.1,5555188,0,0,375240,156504,130802856,b8:27:eb:0e:9d:fb
73.6,8344264,0,0,386748,146928,131013444,b8:27:eb:0e:9d:fb
74.1,7571860,0,0,383820,141984,130936308,b8:27:eb:0e:9d:fb
74.1,6576412,0,0,387492,152892,131052360,b8:27:eb:0e:9d:fb
73.6,6370084,0,0,368568,152952,130901844,b8:27:eb:0e:9d:fb
73.6,3839284,0,0,380784,147816,130932168,b8:27:eb:0e:9d:fb
73.6,5150908,0,0,402324,156732,131017800,b8:27:eb:0e:9d:fb
73.6,5525344,0,0,399360,149376,130984968,b8:27:eb:0e:9d:fb
73.1,8447824,0,0,359244,144276,130910484,b8:27:eb:0e:9d:fb
74.1,7116172,0,0,357012,149340,131082996,b8:27:eb:0e:9d:fb
74.1,6501436,0,0,375420,163404,130654668,b8:27:eb:0e:9d:fb
73.6,4368472,0,0,384432,141888,131129328,b8:27:eb:0e:9d:fb
73.1,2552176,0,0,366720,143784,131135184,b8:27:eb:0e:9d:fb
73.1,4456072,0,0,387144,158556,130943964,b8:27:eb:0e:9d:fb
73.6,5078008,0,0,379260,147036,130790748,b8:27:eb:0e:9d:fb
73.6,9152908,0,0,374052,148128,130994256,b8:27:eb:0e:9d:fb
73.6,6997876,0,0,388092,144048,130648704,b8:27:eb:0e:9d:fb
73.1,6389608,0,0,393900,143952,130764636,b8:27:eb:0e:9d:fb
73.1,6788368,0,0,388596,156828,130756788,b8:27:eb:0e:9d:fb
73.1,5935840,0,0,379632,158652,131074416,b8:27:eb:0e:9d:fb
72.0,6116560,0,0,390828,156576,130852476,b8:27:eb:0e:9d:fb
73.1,4616440,0,0,365904,151248,130765896,b8:27:eb:0e:9d:fb
72.0,1603660,0,0,381708,161160,130764144,b8:27:eb:0e:9d:fb
